4,9,0,12,6,2,2,10,4,10,8,7,4,0,8,0,6,4,8,10,18,20,29,34,26,28,25,29,27,32,41,46,60,274,683,707,233,90,44,28,31,47,42,20,28,26,23,22,21,12,8,8,13,18,16,35,44,61,37,44,41,14,22,9,2,2,2,6,4
20,0,4,8,8,6,6,8,8,8,6,2,6,4,2,8,6,2,10,8,14,34,35,40,29,38,56,41,61,83,103,83,160,212,203,195,257,173,88,88,63,65,65,62,16,42,48,18,38,12,20,4,23,21,17,47,49,51,52,42,26,28,12,4,6,2,2,2,6
8,2,6,6,2,12,6,8,6,10,12,8,8,10,6,6,2,2,4,14,18,28,44,35,42,79,78,103,142,175,206,186,256,321,97,89,334,251,224,218,193,157,105,100,51,68,46,38,27,18,12,19,26,26,37,55,59,42,36,42,27,22,19,8,4,2,0,0,14
4,0,2,6,2,10,8,6,10,10,8,10,14,6,13,4,4,4,9,6,20,19,39,41,87,99,147,175,233,418,355,233,313,117,73,70,70,307,260,366,402,240,174,125,120,89,56,48,24,38,12,22,34,22,38,33,55,56,48,35,20,12,6,4,6,2,0,2,14
12,4,0,2,2,10,8,14,10,6,19,12,4,6,10,8,12,8,2,14,16,24,53,95,127,166,215,281,316,371,236,203,525,60,62,58,70,490,195,220,332,297,247,234,136,105,60,54,44,28,16,18,66,40,52,65,39,39,28,26,20,10,2,0,4,2,2,2,10
14,2,6,0,0,0,4,6,8,18,14,8,8,6,12,4,10,4,8,8,24,65,71,107,171,230,307,396,441,404,134,127,130,66,50,55,63,118,118,146,408,404,359,253,183,170,126,106,60,42,34,18,60,42,55,54,56,52,24,24,12,14,4,8,6,2,0,4,9
4,0,2,2,2,0,6,10,8,12,12,12,16,14,8,8,6,12,10,20,38,75,118,177,227,308,438,505,619,501,155,68,82,55,64,98,68,59,78,158,469,537,439,350,287,204,170,111,84,56,34,44,65,61,46,38,21,30,27,30,10,4,4,0,2,0,4,4,16
4,6,2,2,4,2,0,8,2,12,4,10,10,6,11,12,4,2,14,30,83,197,251,250,286,394,581,604,763,625,211,89,85,74,83,73,69,53,67,197,619,600,487,462,312,267,206,209,184,115,63,41,63,46,40,38,41,24,22,12,14,11,4,4,0,0,2,8,4
10,6,2,4,4,2,4,4,6,12,10,8,8,6,2,2,7,4,22,36,129,384,339,335,311,468,461,388,789,795,605,83,84,95,103,118,87,68,77,552,630,601,311,382,378,296,269,284,327,163,72,71,57,37,34,22,28,16,16,10,16,8,2,6,2,0,2,2,10
0,10,2,2,2,2,4,2,10,4,6,12,6,10,4,8,2,8,26,54,128,292,243,133,357,422,505,269,283,576,476,113,90,89,159,117,122,66,103,443,477,170,154,348,315,302,140,159,300,210,122,80,44,18,22,20,17,12,18,4,6,14,2,4,10,4,6,6,8
4,4,6,2,2,2,2,4,2,4,10,16,7,6,4,4,6,8,30,52,114,176,271,122,119,139,162,163,116,161,519,105,120,123,171,158,118,97,135,437,139,83,137,128,123,118,123,254,199,188,144,83,41,18,19,13,12,18,6,14,14,9,4,2,2,10,0,8,4
2,43,61,44,5,4,2,4,4,6,10,12,2,8,6,6,8,4,44,61,108,198,245,98,97,66,70,61,84,99,87,93,113,175,173,175,144,116,131,100,79,90,65,70,74,83,90,225,210,165,128,109,49,20,18,10,10,20,16,12,10,4,12,2,2,0,4,2,4
6,115,18,16,55,9,4,0,4,8,14,16,10,8,4,10,6,4,32,75,116,203,230,165,74,58,64,60,61,103,138,121,142,165,239,286,172,137,109,92,76,66,72,74,66,75,137,225,219,158,135,124,42,12,10,8,16,10,12,8,12,8,10,6,4,6,2,2,12
10,117,16,16,120,139,2,6,4,14,8,27,8,2,6,10,4,17,29,70,133,220,277,495,120,46,46,72,86,88,95,134,138,185,290,285,183,152,127,121,86,84,90,84,78,100,434,263,226,171,148,155,24,10,4,0,6,12,10,8,16,12,2,0,4,2,4,6,10
4,26,47,57,94,115,22,8,2,12,61,96,74,23,5,16,6,4,34,75,197,310,133,70,64,53,47,55,65,82,119,109,145,178,267,277,202,141,119,118,104,109,84,88,70,95,100,154,323,226,131,124,10,8,6,6,6,11,10,10,14,14,13,4,8,0,2,0,8
18,52,31,26,86,113,0,8,4,14,69,196,84,82,61,33,19,16,40,54,81,220,154,75,54,40,48,53,56,70,90,97,125,151,164,211,174,132,107,112,124,97,82,85,80,87,89,197,166,113,80,79,10,0,4,7,10,12,10,8,6,6,12,8,2,4,6,0,8
6,23,8,11,36,18,4,0,8,18,25,114,55,45,45,41,16,6,20,40,52,103,186,212,91,63,53,55,59,72,57,73,115,114,120,157,160,103,137,109,110,99,64,85,70,80,222,166,90,80,64,52,6,6,5,4,6,8,16,10,10,12,8,4,4,4,4,4,20
8,14,12,24,8,2,2,4,4,14,37,70,24,41,14,10,8,8,8,6,36,54,116,230,232,145,96,55,33,57,81,87,114,81,111,148,97,91,105,127,82,76,85,88,121,327,205,108,78,62,61,29,9,4,4,6,14,12,12,14,18,12,6,6,6,0,0,0,4
2,36,10,8,0,0,6,2,2,8,37,65,12,10,8,2,0,6,8,14,25,52,94,144,292,318,316,96,83,43,60,76,58,82,95,103,85,93,86,76,85,97,108,325,287,320,168,111,67,56,28,16,4,8,4,6,8,6,12,12,14,6,6,4,4,4,4,2,6
4,70,10,0,2,2,0,6,14,34,39,40,10,8,8,6,4,2,10,23,24,49,77,122,176,325,333,293,82,65,37,47,65,51,79,100,75,60,85,85,102,105,349,305,261,180,123,77,52,36,16,13,8,6,4,6,8,4,16,12,8,10,2,4,0,2,4,4,7
2,29,2,0,2,2,12,20,32,24,29,15,6,6,10,0,6,2,8,8,18,33,45,76,100,184,283,269,574,68,50,50,50,60,56,62,65,51,42,69,80,523,246,280,161,156,100,75,52,30,20,10,0,2,2,10,10,2,8,8,30,12,6,5,5,6,0,4,6
2,8,0,0,2,8,10,29,48,27,43,24,8,8,16,0,8,4,10,12,14,28,44,90,95,136,187,257,145,84,43,59,50,72,73,70,81,70,72,73,90,150,280,199,151,97,92,58,47,20,12,8,4,4,4,6,4,6,0,6,22,4,2,4,0,22,51,53,34
