count,min_from_zero
1419400,0.0
3069763,5.0
2761205,10.0
2781313,15.0
2924005,20.0
2760730,25.0
2543282,30.0
1708414,35.0
1662939,40.0
1439777,45.0
1419948,50.0
1596538,55.0
1830615,60.0
1868127,65.0
1995948,70.0
1762579,75.0
1402704,80.0
1415653,85.0
1270580,90.0
1228973,95.0
994472,100.0
778411,105.0
752450,110.0
798692,115.0
725141,120.0
410704,125.0
383789,130.0
397089,135.0
487343,140.0
510048,145.0
512961,150.0
523151,155.0
876532,160.0
888338,165.0
718957,170.0
647961,175.0
710763,180.0
913842,185.0
914718,190.0
817992,195.0
674591,200.0
666988,205.0
690945,210.0
698968,215.0
735917,220.0
795998,225.0
735950,230.0
780373,235.0
942687,240.0
1022447,245.0
987256,250.0
1037950,255.0
1050722,260.0
1253837,265.0
1198961,270.0
1241481,275.0
1293286,280.0
1193256,285.0
1195503,290.0
1166089,295.0
1096446,300.0
987146,305.0
1007738,310.0
1323807,315.0
1320629,320.0
1016358,325.0
784025,330.0
634089,335.0
583640,340.0
482226,345.0
638003,350.0
567688,355.0
610378,360.0
637163,365.0
629243,370.0
633993,375.0
755691,380.0
1186043,385.0
1694194,390.0
1605482,395.0
1321946,400.0
1250001,405.0
1338454,410.0
1339830,415.0
1294467,420.0
1339047,425.0
1177200,430.0
978236,435.0
1019508,440.0
1063822,445.0
1042181,450.0
1057765,455.0
797460,460.0
622399,465.0
630663,470.0
610008,475.0
622206,480.0
615118,485.0
628786,490.0
892041,495.0
672456,500.0
723568,505.0
814807,510.0
919544,515.0
940200,520.0
889623,525.0
510078,530.0
395121,535.0
396658,540.0
393014,545.0
270171,550.0
264908,555.0
262521,560.0
262605,565.0
639193,570.0
703904,575.0
735620,580.0
723817,585.0
739021,590.0
634684,595.0
622166,600.0
592987,605.0
360021,610.0
268301,615.0
271788,620.0
459582,625.0
494878,630.0
484292,635.0
507720,640.0
489917,645.0
365907,650.0
371254,655.0
364350,660.0
381213,665.0
426563,670.0
262253,675.0
263188,680.0
265896,685.0
267068,690.0
267424,695.0
269139,700.0
207642,705.0
202003,710.0
202455,715.0
220459,720.0
371145,725.0
371769,730.0
370621,735.0
379031,740.0
342114,745.0
232973,750.0
232284,755.0
154666,760.0
174173,765.0
180569,770.0
184913,775.0
182947,780.0
191537,785.0
195472,790.0
192827,795.0
177637,800.0
205593,805.0
177126,810.0
190790,815.0
180495,820.0
202106,825.0
194821,830.0
204268,835.0
205933,840.0
197516,845.0
214137,850.0
239016,855.0
290379,860.0
282059,865.0
403325,870.0
475130,875.0
356617,880.0
89051,885.0
90184,890.0
90140,895.0
90650,900.0
90851,905.0
91618,910.0
91800,915.0
93193,920.0
95409,925.0
178553,930.0
312396,935.0
393665,940.0
506360,945.0
512343,950.0
522838,955.0
527607,960.0
426038,965.0
426362,970.0
435497,975.0
445519,980.0
268905,985.0
238604,990.0
125761,995.0
67855,1000.0
68014,1005.0
67026,1010.0
67305,1015.0
66228,1020.0
89251,1025.0
65550,1030.0
64989,1035.0
64348,1040.0
64278,1045.0
62163,1050.0
88242,1055.0
158952,1060.0
147855,1065.0
176078,1070.0
150065,1075.0
121289,1080.0
121398,1085.0
121305,1090.0
162153,1095.0
68724,1100.0
68669,1105.0
69345,1110.0
69812,1115.0
69547,1120.0
69293,1125.0
70898,1130.0
70820,1135.0
70716,1140.0
71707,1145.0
71797,1150.0
72232,1155.0
72000,1160.0
72736,1165.0
73240,1170.0
73189,1175.0
73846,1180.0
73931,1185.0
74964,1190.0
75156,1195.0
114486,1200.0
226400,1205.0
500393,1210.0
632572,1215.0
742651,1220.0
733527,1225.0
693459,1230.0
395950,1235.0
376493,1240.0
350860,1245.0
299636,1250.0
297145,1255.0
284911,1260.0
159629,1265.0
157668,1270.0
155813,1275.0
126400,1280.0
23514,1435.0
457986,1440.0
473933,1445.0
460109,1450.0
383030,1455.0
298659,1460.0
26237,1670.0
248422,1675.0
414645,1680.0
404016,1685.0
408333,1690.0
329078,1695.0
375541,4500.0
295626,4505.0
347645,4510.0
303460,4515.0
296718,4520.0
310703,4525.0
23246,4705.0
34406,4710.0
25006,4715.0
18782,4720.0
16767,4725.0
800,4730.0
