count,min_from_zero
19761,4990.0
19664,3610.0
19632,3265.0
19614,3620.0
19605,3615.0
19597,3270.0
19518,4985.0
19436,4735.0
19412,4975.0
19339,4980.0
19279,3275.0
19225,3595.0
19198,3605.0
19188,4740.0
19173,4970.0
19160,3600.0
19121,4965.0
18996,3280.0
18993,3590.0
18952,2700.0
18932,4745.0
18930,2695.0
18908,2725.0
18904,4960.0
18897,4955.0
18893,3585.0
18873,2710.0
18845,2690.0
18833,3285.0
18811,3290.0
18807,2715.0
18802,4750.0
18796,4950.0
18748,3295.0
18747,2720.0
18719,3575.0
18713,3580.0
18668,2685.0
18635,3565.0
18586,4755.0
18549,2705.0
18547,3570.0
18517,4945.0
18515,3545.0
18512,3560.0
18486,4760.0
18450,3300.0
18407,4940.0
18373,3305.0
18350,3310.0
18341,2680.0
18339,3555.0
18320,3540.0
18266,4765.0
18256,3550.0
18249,3315.0
18102,3320.0
18101,2675.0
18092,3335.0
18080,3325.0
18055,3535.0
18034,3330.0
18030,4935.0
18013,4770.0
17934,4930.0
17862,1250.0
17857,3340.0
17853,3530.0
17828,4780.0
17820,4775.0
17816,3525.0
17793,4925.0
17783,2670.0
17750,1245.0
17721,4920.0
17688,3345.0
17624,3350.0
17619,1255.0
17614,4785.0
17576,4795.0
17550,2660.0
17539,3520.0
17533,4790.0
17503,4915.0
17465,2665.0
17445,3360.0
17442,1240.0
17432,3490.0
17407,3480.0
17404,3495.0
17392,2655.0
17384,3355.0
17378,3515.0
17373,2640.0
17337,3365.0
17310,4805.0
17270,3500.0
17261,3510.0
17258,3465.0
17251,4910.0
17245,1235.0
17237,3380.0
17230,3485.0
17222,3505.0
17222,2630.0
17217,3370.0
17196,3375.0
17159,2645.0
17152,4800.0
17142,2635.0
17134,4810.0
17131,3460.0
17106,2650.0
17087,3470.0
17083,3475.0
17071,3420.0
17064,4815.0
17010,3425.0
17004,4905.0
16985,2620.0
16975,4835.0
16964,3455.0
16947,3430.0
16931,3435.0
16919,1225.0
16909,1230.0
16894,3450.0
16887,3445.0
16886,3415.0
16876,4900.0
16875,3390.0
16875,4825.0
16875,2625.0
16865,3385.0
16856,3395.0
16846,3405.0
16835,3410.0
16826,4820.0
16821,2610.0
16786,3440.0
16780,4830.0
16767,4890.0
16758,4845.0
16756,4885.0
16731,2585.0
16726,4895.0
16717,2600.0
16711,4880.0
16688,3400.0
16660,1220.0
16654,4875.0
16616,4840.0
16616,2575.0
16608,4860.0
16587,2580.0
16560,2590.0
16539,4865.0
16518,2615.0
16518,2605.0
16512,2595.0
16503,1215.0
16491,4850.0
16489,4870.0
16483,4855.0
16439,2565.0
16369,2570.0
16163,2560.0
16091,2550.0
16064,1265.0
16055,2510.0
16051,2555.0
16023,1210.0
16017,2535.0
15979,2545.0
15947,2540.0
15947,2525.0
15911,1200.0
15894,1195.0
15882,2530.0
15874,1205.0
15771,2500.0
15685,2520.0
15624,2515.0
15613,1190.0
15481,1185.0
15398,2490.0
15376,2480.0
15344,2495.0
15306,2505.0
15270,2485.0
15160,2475.0
15145,1435.0
15117,1410.0
15072,1430.0
15051,1415.0
15045,1395.0
15003,1425.0
14934,2465.0
14897,1180.0
14883,1405.0
14814,1400.0
14788,1420.0
14771,1390.0
14749,2470.0
14682,1385.0
14624,1440.0
14623,2450.0
14619,2455.0
14587,2460.0
14586,1175.0
14574,1380.0
14534,1375.0
14443,2445.0
14429,1370.0
14377,2430.0
14367,5335.0
14347,2440.0
14304,1275.0
14250,2425.0
14240,2435.0
14128,2415.0
14100,1170.0
14087,2420.0
13908,2410.0
13849,1165.0
13791,2405.0
13735,2400.0
13693,2395.0
13577,1160.0
13474,1155.0
13367,2380.0
13331,1150.0
13319,2385.0
13184,1445.0
13124,2390.0
13072,1145.0
13015,1285.0
12998,2365.0
12981,2375.0
12750,2370.0
12679,1365.0
12677,2355.0
12588,1140.0
12584,2360.0
12476,1135.0
12469,2345.0
12388,2335.0
12195,2350.0
12135,2340.0
12054,2330.0
12003,2325.0
11890,1130.0
11878,2310.0
11817,1295.0
11792,2315.0
11774,1455.0
11738,2320.0
11643,2300.0
11433,2305.0
11291,2290.0
11290,2295.0
11180,1125.0
11133,2280.0
11035,1305.0
11013,2275.0
10969,2285.0
10815,1300.0
10769,2265.0
10688,1280.0
10683,1315.0
10680,1290.0
10657,1270.0
10630,1465.0
10595,2270.0
10561,2255.0
10462,2260.0
10443,1120.0
10397,2230.0
10360,1360.0
10335,2250.0
10281,1310.0
10265,1320.0
10223,2240.0
10168,2245.0
10094,1335.0
10038,1325.0
9976,2235.0
9966,1115.0
9909,1475.0
9892,1330.0
9876,1485.0
9865,1355.0
9844,1345.0
9781,1340.0
9739,1350.0
9702,2225.0
9593,1110.0
9581,2215.0
9578,1495.0
9574,2220.0
9460,2210.0
9452,2205.0
9419,1555.0
9384,1520.0
9352,1550.0
9293,1575.0
9289,2195.0
9277,1565.0
9215,1570.0
9210,1545.0
9192,1600.0
9188,1535.0
9175,1505.0
9159,1540.0
9145,1560.0
9145,1510.0
9139,1590.0
9094,1530.0
9084,1585.0
9082,1595.0
9050,1490.0
9044,1515.0
9035,1525.0
9034,2185.0
9032,1500.0
9031,2175.0
9030,1480.0
9027,2200.0
9016,1580.0
8944,1105.0
8833,1605.0
8774,1610.0
8745,1615.0
8742,2165.0
8629,2190.0
8623,1470.0
8545,2155.0
8386,1460.0
8372,2180.0
8256,2145.0
8153,2170.0
8055,2135.0
8050,1100.0
